id,source_mesh,center_x,center_y,center_z,min_z,max_z,size_x,size_y,size_z,bbox_volume
0_001,0.001,0.8653466701507568,-6.849282264709473,1.6440801620483398,1.530637264251709,1.7575230598449707,0.13107538223266602,0.27524375915527344,0.22688579559326172,0.008185513342876299
6_001,6.001,1.0488318502902985,-7.108670473098755,1.7196664810180664,1.63289475440979,1.8064382076263428,0.1809200644493103,0.13763952255249023,0.17354345321655273,0.004321535910174481
1_001,1.001,0.9892256557941437,-7.029672861099243,1.8369160890579224,1.7459429502487183,1.9278892278671265,0.18841952085494995,0.14623403549194336,0.1819462776184082,0.005013228904397846
5_001,5.001,1.2875857949256897,-7.161409378051758,1.863613247871399,1.7721844911575317,1.9550420045852661,0.3045858144760132,0.12661075592041016,0.18285751342773438,0.007051687929654443
3_001,3.001,1.5023427605628967,-7.024571418762207,1.9284006357192993,1.823758602142334,2.0330426692962646,0.11206543445587158,0.15259552001953125,0.20928406715393066,0.003578900541045007
2_001,2.001,1.241951584815979,-7.08776068687439,1.9891573190689087,1.8975732326507568,2.0807414054870605,0.32250142097473145,0.13517141342163086,0.1831681728363037,0.007984845195262023
plug_001,Plug.001,0.49942444264888763,7.122450113296509,3.032489538192749,2.580120086669922,3.484858989715576,0.3785654604434967,0.9055943489074707,0.9047389030456543,0.31016869019249454
soffietto_lowdensity_000,Soffietto Lowdensity.000,-0.128980815410614,-4.6138036251068115,3.4546242356300354,1.3104411363601685,5.598807334899902,3.362476944923401,5.2275872230529785,4.288366198539734,75.37936372336836
gomito_cover_forearm_black_001,Gomito Cover Forearm Black.001,-0.8734145313501358,7.319679260253906,3.4812053442001343,2.003913164138794,4.958497524261475,2.6362752616405487,5.093486785888672,2.9545843601226807,39.67366599003539
gomito_cover_forearm,Gomito Cover Forearm,-1.0514845848083496,3.0132189989089966,3.6791434288024902,1.6197700500488281,5.738516807556152,3.57804536819458,10.725074529647827,4.118746757507324,158.05609643264017
cerchietto_034,Cerchietto.034,-1.0245242416858673,-4.913840293884277,3.805649161338806,3.753401041030884,3.8578972816467285,0.22131747007369995,0.21430587768554688,0.10449624061584473,0.00495621851693263
gomito_cover_bicept,Gomito Cover Bicept,-1.1190760135650635,9.126175165176392,3.8771380186080933,2.3685195446014404,5.385756492614746,3.606490135192871,2.813453197479248,3.0172369480133057,30.61497159637242
cerchietto_033,Cerchietto.033,-1.201016902923584,-5.084314346313477,3.883468985557556,3.831220865249634,3.9357171058654785,0.22131752967834473,0.21430587768554688,0.10449624061584473,0.0049562198517284954
cerchietto_035,Cerchietto.035,-0.954849511384964,-5.146243333816528,3.887898802757263,3.835650682449341,3.9401469230651855,0.22131747007369995,0.21430540084838867,0.10449624061584473,0.0049562074891942465
cerchietto_032,Cerchietto.032,-1.3563986420631409,-5.241070508956909,3.956114172935486,3.9038660526275635,4.008362293243408,0.22131741046905518,0.21430540084838867,0.10449624061584473,0.0049562061544013505
cerchietto_036,Cerchietto.036,-1.130387306213379,-5.310795545578003,3.965171456336975,3.9129230976104736,4.017419815063477,0.22131752967834473,0.21430540084838867,0.10449671745300293,0.004956231440155123
cerchietto_037,Cerchietto.037,-0.8799700438976288,-5.3699421882629395,3.967412829399109,3.9151647090911865,4.019660949707031,0.22131747007369995,0.21430587768554688,0.10449624061584473,0.00495621851693263
cerchietto_031,Cerchietto.031,-1.538613736629486,-5.410047292709351,4.0377137660980225,3.9854655265808105,4.089962005615234,0.22131741046905518,0.21430540084838867,0.10449647903442383,0.004956217462479249
cerchietto_030,Cerchietto.030,-1.297331690788269,-5.490140914916992,4.045370936393738,3.9931228160858154,4.09761905670166,0.22131729125976562,0.21430587768554688,0.10449624061584473,0.004956214512545031
cerchietto_038,Cerchietto.038,-0.8126481771469116,-5.589420795440674,4.049259066581726,3.9970109462738037,4.101507186889648,0.22131752967834473,0.21430587768554688,0.10449624061584473,0.0049562198517284954
cerchietto_039,Cerchietto.039,-1.0582305192947388,-5.536669492721558,4.049462556838989,3.9972143173217773,4.101710796356201,0.22131752967834473,0.21430540084838867,0.10449647903442383,0.004956220132071133
skin_palmo,Skin Palmo,-1.0113256126642227,-5.84317684173584,4.150074362754822,3.740936040878296,4.559212684631348,1.5019602477550507,2.1850881576538086,0.8182766437530518,2.6855148418556545
cerchietto_024,Cerchietto.024,-1.6213285326957703,-5.725406885147095,4.169301748275757,4.115870475769043,4.222733020782471,0.22126638889312744,0.21320199966430664,0.10686254501342773,0.00504118035149974
cerchietto_022,Cerchietto.022,-1.128816306591034,-5.8373143672943115,4.169403791427612,4.115972518920898,4.222835063934326,0.22126638889312744,0.21320199966430664,0.10686254501342773,0.00504118035149974
cerchietto_023,Cerchietto.023,-1.3723533749580383,-5.7857506275177,4.17030930519104,4.116878032684326,4.223740577697754,0.22126638889312744,0.21320199966430664,0.10686254501342773,0.00504118035149974
